Area ID,Name
124,"El Centro-Calexico, CA"
125,"El Dorado-Magnolia-Camden, AR"
126,"Elkhart, IN"
127,"Elmira-Corning-Hornell, NY"
128,"El Paso, TX"
129,"Emporia, KS"
130,"Enid, OK"
131,"Erie, PA"
132,"Escanaba, MI"
133,"Eugene-Springfield, OR"
134,"Eureka, CA"
135,"Evansville, IN"
136,"Fairbanks, AK"
137,"Fairmont, WV"
138,"Fargo, ND"
139,"Farmington, NM-Durango, CO"
140,"Fayetteville-Springdale-Rogers, AR"
141,"Fayetteville-Lumberton, NC"
142,"Fergus Falls, MN"
143,"Findlay-Tiffin, OH"
144,"Flagstaff, AZ"
145,"Flint, MI"
146,"Florence, AL"
147,"Florence, SC"
148,"Fond du Lac, WI"
149,"Fort Collins-Loveland, CO"
150,"Fort Dodge, IA"
151,"Fort Myers, FL"
152,"Fort Pierce-Vero Beach-Stuart, FL"
153,"Fort Smith, AR"
154,"Fort Walton Beach, FL"
155,"Fort Wayne, IN"
156,"Fredericksburg, VA"
157,"Fresno, CA"
158,"Gadsden, AL"
159,"Gainesville, FL"
160,"Gainesville, GA"
161,"Galesburg, IL"
162,"Gallup, NM"
163,"Garden City, KS"
164,"Glens Falls, NY"
165,"Goldsboro-Kinston, NC"
166,"Grand Forks, ND"
167,"Grand Island-Kearney, NE"
168,"Grand Junction, CO"
169,"Grand Rapids, MI"
170,"Great Bend, KS"
171,"Great Falls, MT"
172,"Greeley, CO"
173,"Green Bay, WI"
174,"Greensboro--Winston-Salem--High Point, NC"
175,"Greenville-Greenwood, MS"
176,"Greenville-Washington, NC"
177,"Greenville-Spartanburg, SC"
178,"Greenwood, SC"
179,"Hagerstown, MD-Chambersburg, PA-Martinsburg, WV"
180,"Hammond, LA"
181,"Harrisburg, PA"
182,"Harrison, AR"
183,"Harrisonburg, VA"
184,"Hartford, CT"
185,"Hastings, NE"
186,"Hattiesburg, MS"
187,"Hays, KS"
188,"Helena, MT"
189,"Hickory-Lenoir-Morganton, NC"
190,"Hilo, HI"
191,"Hobbs, NM"
192,"Honolulu, HI"
193,"Hot Springs, AR"
194,"Houghton, MI"
195,"Houma-Thibodaux, LA"
196,"Houston, TX"
197,"Huntington, WV-Ashland, KY"
198,"Huntsville, AL"
199,"Huron, SD"
200,"Hutchinson, KS"
201,"Hyannis, MA"
202,"Idaho Falls, ID"
203,"Indiana, PA"
204,"Indianapolis, IN"
205,"Iowa City, IA"
206,"Iron Mountain, MI"
207,"Ironwood, MI"
208,"Ithaca, NY"
209,"Jackson, MI"
210,"Jackson, MS"
211,"Jackson, TN"
212,"Jacksonville, FL"
213,"Jacksonville, IL"
214,"Jacksonville, NC"
215,"Jamestown, NY-Warren, PA-Dunkirk, NY"
216,"Janesville-Beloit, WI"
217,"Jefferson City, MO"
218,"Johnstown, PA"
219,"Jonesboro-Paragould, AR"
220,"Joplin, MO-Miami, OK"
221,"Juneau-Ketchikan, AK"
222,"Kahului-Wailuku-Lahaina, HI"
223,"Kalamazoo, MI"
224,"Kalispell, MT"
225,"Kankakee, IL"
226,"Kansas City, MO"
227,"Keene, NH"
228,"Kennewick-Pasco-Richland, WA"
229,"Kingsport, TN-Johnson City, TN-Bristol, VA-TN"
230,"Kirksville, MO"
231,"Klamath Falls, OR"
232,"Knoxville, TN"
233,"Kokomo-Logansport, IN"
234,"La Crosse, WI-Winona, MN"
235,"Lafayette, IN"
236,"Lafayette-New Iberia, LA"
237,"La Grange, GA"
238,"Lake Charles, LA"
239,"Lakeland-Winter Haven, FL"
240,"Lancaster, PA"
241,"Lansing, MI"
242,"Laredo, TX"
243,"La Salle-Peru-Ottawa-Streator, IL"
244,"Las Cruces, NM"
245,"Las Vegas, NV"
246,"Laurel, MS"
247,"Lawrence, KS"
248,"Lawton-Duncan, OK"
249,"Lebanon-Claremont, NH"
250,"Lewiston-Moscow, ID"
251,"Lewiston-Auburn, ME"
252,"Lexington, KY"
253,"Liberal, KS"
254,"Lihue, HI"
255,"Lima, OH"
256,"Lincoln, NE"
257,"Little Rock, AR"
258,"Logan, UT"
259,"Logan, WV"
260,"Longview-Marshall, TX"
261,"Longview, WA"
262,"Los Angeles, CA"
263,"Louisville, KY"
264,"Lubbock, TX"
265,"Lufkin-Nacogdoches, TX"
266,"Lynchburg, VA"
267,"McAlester, OK"
268,"McAllen, TX"
269,"McComb-Brookhaven, MS"
270,"McCook, NE"
271,"Macon-Warner Robins, GA"
272,"Madison, WI"
273,"Madisonville, KY"
274,"Manchester-Nashua-Concord, NH"
275,"Manhattan-Junction City, KS"
276,"Manitowoc, WI"
277,"Mankato-Fairmont, MN"
278,"Mansfield, OH"
279,"Marinette, WI-Menominee, MI"
280,"Marion, IN"
281,"Marion, OH"
282,"Marquette, MI"
283,"Marshalltown, IA"
284,"Martinsville, VA"
285,"Mason City, IA"
286,"Mattoon, IL"
287,"Meadville, PA"
288,"Medford-Grants Pass, OR"
289,"Melbourne-Titusville, FL"
290,"Memphis, TN"
291,"Merced, CA"
292,"Meridian, MS"
293,"Miami-Fort Lauderdale, FL"
294,"Michigan City-La Porte, IN"
295,"Middlesboro-Harlan, KY"
296,"Midland, TX"
297,"Milwaukee, WI"
298,"Minneapolis-St. Paul, MN"
299,"Minot, ND"
300,"Missoula, MT"
301,"Mitchell, SD"
302,"Mobile, AL"
303,"Modesto, CA"
304,"Monroe, LA"
305,"Montgomery, AL"
306,"Morgantown, WV"
307,"Mount Pleasant, MI"
308,"Mount Vernon-Centralia, IL"
309,"Muncie, IN"
310,"Muskegon, MI"
311,"Muskogee, OK"
312,"Myrtle Beach, SC"
313,"Naples, FL"
314,"Nashville, TN"
315,"Natchez, MS"
316,"New Bern, NC"
317,"New Castle, PA"
318,"New Haven-Waterbury-Meriden, CT"
319,"New London-Norwich, CT"
320,"New Orleans, LA"
321,"New York, NY"
322,"Nogales, AZ"
323,"Norfolk, NE"
324,"Norfolk-Virginia Beach-Newport News-Hampton, VA"
325,"North Platte, NE"
326,"Ocala, FL"
327,"Odessa, TX"
328,"Oil City-Franklin, PA"
329,"Oklahoma City, OK"
330,"Olean, NY-Bradford, PA"
331,"Olympia-Centralia, WA"
332,"Omaha, NE"
333,"Oneonta, NY"
334,"Opelika-Auburn, AL"
335,"Orangeburg, SC"
336,"Orlando, FL"
337,"Ottumwa, IA"
338,"Owensboro, KY"
339,"Paducah-Murray-Mayfield, KY"
340,"Panama City, FL"
341,"Paris, TX"
342,"Parkersburg, WV-Marietta, OH"
343,"Pensacola, FL"
344,"Peoria, IL"
345,"Petoskey, MI"
346,"Philadelphia, PA-Wilmington, DE-Trenton, NJ"
347,"Phoenix, AZ"
348,"Pine Bluff, AR"
349,"Pittsburg-Parsons, KS"
350,"Pittsburgh, PA"
351,"Pittsfield, MA"
352,"Plattsburgh, NY"
353,"Pocatello, ID"
354,"Ponca City, OK"
355,"Poplar Bluff, MO"
356,"Port Angeles, WA"
357,"Portland-Brunswick, ME"
358,"Portland, OR"
359,"Portsmouth, OH"
360,"Pottsville, PA"
361,"Poughkeepsie-Kingston, NY"
362,"Prescott, AZ"
363,"Presque Isle, ME"
364,"Providence-Pawtucket, RI-New Bedford-Fall Riv., MA"
365,"Provo-Orem, UT"
366,"Pueblo, CO"
367,"Quincy, IL-Hannibal, MO"
368,"Raleigh-Durham, NC"
369,"Rapid City, SD"
370,"Reading, PA"
371,"Redding, CA"
372,"Reno, NV"
373,"Richmond, IN"
374,"Richmond-Petersburg, VA"
375,"Riverton, WY"
376,"Roanoke, VA"
377,"Roanoke Rapids, NC"
378,"Rochester-Austin-Albert Lea, MN"
379,"Rochester, NY"
380,"Rockford, IL"
381,"Rock Springs, WY"
382,"Rocky Mount-Wilson, NC"
383,"Rolla, MO"
384,"Rome, GA"
385,"Roseburg, OR"
386,"Roswell, NM"
387,"Russellville, AR"
388,"Rutland-Bennington, VT"
389,"Sacramento, CA"
390,"Saginaw-Bay City, MI"
391,"St. Cloud, MN"
392,"St. George, UT"
393,"St. Joseph, MO"
394,"St. Louis, MO"
395,"Salem-Albany-Corvallis, OR"
396,"Salina, KS"
397,"Salinas-Monterey, CA"
398,"Salisbury, MD"
399,"Salt Lake City-Ogden, UT"
400,"San Angelo, TX"
401,"San Antonio, TX"
402,"San Diego, CA"
403,"Sandusky, OH"
404,"San Francisco-Oakland-San Jose, CA"
405,"San Luis Obispo, CA"
406,"Santa Barbara-Santa Maria, CA"
407,"Santa Fe, NM"
408,"Sarasota-Bradenton, FL"
409,"Sault Ste. Marie, MI"
410,"Savannah, GA"
411,"Scottsbluff, NE"
412,"Scranton--Wilkes-Barre--Hazleton, PA"
413,"Seattle-Tacoma, WA"
414,"Sedalia, MO"
415,"Selma, AL"
416,"Sharon, PA"
417,"Sheboygan, WI"
418,"Sherman-Denison, TX"
419,"Shreveport, LA"
420,"Sierra Vista-Douglas, AZ"
421,"Sioux City, IA"
422,"Sioux Falls, SD"
423,"Somerset, KY"
424,"South Bend-Mishawaka, IN"
425,"Spokane, WA"
426,"Springfield, IL"
427,"Springfield-Holyoke, MA"
428,"Springfield, MO"
429,"State College, PA"
430,"Staunton-Waynesboro, VA"
431,"Steubenville, OH-Weirton, WV"
432,"Stevens Point-Marshfield-Wisconsin Rapids, WI"
433,"Stillwater, OK"
434,"Stockton, CA"
435,"Stroudsburg, PA"
436,"Sumter, SC"
437,"Sunbury-Shamokin, PA"
438,"Syracuse, NY"
439,"Tallahassee, FL"
440,"Tampa-St. Petersburg-Clearwater, FL"
441,"Temple-Killeen, TX"
442,"Terre Haute, IN"
443,"Texarkana, TX-AR"
444,"Toledo, OH"
445,"Topeka, KS"
446,"Traverse City, MI"
447,"Tucson, AZ"
448,"Tulsa, OK"
449,"Tupelo-Corinth, MS"
450,"Tuscaloosa, AL"
451,"Twin Falls, ID"
452,"Tyler, TX"
453,"Utica-Rome, NY"
454,"Valdosta, GA"
455,"Vicksburg, MS"
456,"Victoria, TX"
457,"Vincennes-Washington, IN"
458,"Visalia-Porterville-Hanford, CA"
459,"Waco, TX"
460,"Walla Walla, WA-Pendleton, OR"
461,"Washington, DC"
462,"Waterloo-Cedar Falls, IA"
463,"Watertown, NY"
464,"Watertown, SD"
465,"Waterville-Augusta, ME"
466,"Wausau-Rhinelander, WI"
467,"Waycross, GA"
468,"Wenatchee, WA"
469,"West Palm Beach-Boca Raton, FL"
470,"West Plains, MO"
471,"Wheeling, WV"
472,"Wichita, KS"
473,"Wichita Falls, TX"
474,"Williamson, WV-Pikeville, KY"
475,"Williamsport, PA"
476,"Williston, ND"
477,"Willmar-Marshall, MN"
478,"Wilmington, NC"
479,"Winchester, VA"
480,"Worcester-Fitchburg-Leominster, MA"
481,"Worthington, MN"
482,"Yakima, WA"
483,"York-Hanover, PA"
484,"Youngstown-Warren, OH"
485,"Yuba City-Marysville, CA"
486,"Yuma, AZ"
487,"Zanesville-Cambridge, OH"
488,"San Juan, PR"
489,"Mayagüez/Aguadilla-Ponce, PR"
490,Guam
491,U.S. Virgin Islands
492,American Samoa
493,Northern Mariana Islands
